2025-01-18 15:27:26,577 - INFO - acc: 0.959172195467048, acc_cls: 0.25, iu: [0.9591722 0.        0.        0.       ], mean_iu: 0.239793048866762, fwavacc:0.9200113005570769
2025-01-18 15:27:52,149 - INFO - acc: 0.959172195467048, acc_cls: 0.25, iu: [0.9591722 0.        0.        0.       ], mean_iu: 0.239793048866762, fwavacc:0.9200113005570769
2025-01-18 15:28:17,349 - INFO - acc: 0.959172195467048, acc_cls: 0.25, iu: [0.9591722 0.        0.        0.       ], mean_iu: 0.239793048866762, fwavacc:0.9200113005570769
2025-01-18 15:28:43,793 - INFO - acc: 0.959172195467048, acc_cls: 0.25, iu: [0.9591722 0.        0.        0.       ], mean_iu: 0.239793048866762, fwavacc:0.9200113005570769
2025-01-18 15:29:11,727 - INFO - acc: 0.959172195467048, acc_cls: 0.25, iu: [0.9591722 0.        0.        0.       ], mean_iu: 0.239793048866762, fwavacc:0.9200113005570769
2025-01-18 15:29:35,911 - INFO - acc: 0.959172195467048, acc_cls: 0.25, iu: [0.9591722 0.        0.        0.       ], mean_iu: 0.239793048866762, fwavacc:0.9200113005570769
2025-01-18 15:30:01,113 - INFO - acc: 0.959172195467048, acc_cls: 0.25, iu: [0.9591722 0.        0.        0.       ], mean_iu: 0.239793048866762, fwavacc:0.9200113005570769
2025-01-18 15:30:27,258 - INFO - acc: 0.959172195467048, acc_cls: 0.25, iu: [0.9591722 0.        0.        0.       ], mean_iu: 0.239793048866762, fwavacc:0.9200113005570769
2025-01-18 15:30:54,059 - INFO - acc: 0.959172195467048, acc_cls: 0.25, iu: [0.9591722 0.        0.        0.       ], mean_iu: 0.239793048866762, fwavacc:0.9200113005570769
2025-01-18 15:31:20,192 - INFO - acc: 0.959172195467048, acc_cls: 0.25, iu: [0.9591722 0.        0.        0.       ], mean_iu: 0.239793048866762, fwavacc:0.9200113005570769
